name,time,text,url
CNN,Sat Oct 06 18:23:46 +0000 2018,Banksy painting 'self-destructs' moments after being sold for $1.4 million at auction,http://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png
CBSNews,Sat Oct 06 22:20:14 +0000 2018,"CREATIVE DESTRUCTION: A Banksy artwork self-destructed in a shredder moments after selling for $1.4 million, shocking the auction audience.",http://pbs.twimg.com/profile_images/645966750941626368/d0Q4voGK_normal.jpg
business,Sat Oct 06 18:54:46 +0000 2018,"Going, gone, gone. Banksy delivers the ultimate prank at high-profile auction at Sotheby's",http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg
artsy,Sat Oct 06 19:28:00 +0000 2018,An artwork by Banksy shredded itself this week after selling for $1.3 million at Sotheby's,http://pbs.twimg.com/profile_images/879737702626672642/BI4q6EZk_normal.jpg
NPR,Sun Oct 07 01:05:04 +0000 2018,'We Just Got Banksy-ed': 'Girl With Balloon' Sells For $1.4M Before Self-Destructing,http://pbs.twimg.com/profile_images/722199003845304320/s2zwEoao_normal.jpg
tictoc,Sat Oct 06 17:10:12 +0000 2018,This $1.2 million Banksy painting began destroying itself just minutes after it was sold,http://pbs.twimg.com/profile_images/940202913393082373/23X8DJQc_normal.jpg
AP,Sat Oct 06 13:06:11 +0000 2018,"(CORRECTS typo) A Banksy artwork self-destructs moments after being sold at auction for $1.4 million, in a prank apparently orchestrated by the elusive street artist.",http://pbs.twimg.com/profile_images/461964160838803457/8z9FImcv_normal.png
7NewsAdelaide,Sat Oct 06 08:57:43 +0000 2018,Mysterious street artist Banksy has proven he is still one step ahead during an auction in London. #7News,http://pbs.twimg.com/profile_images/762825972806590464/BB4hK6Dd_normal.jpg
BBC,Sat Oct 06 14:06:03 +0000 2018,"Going, going, gone! A Banksy artwork shredded itself after it was sold for more than &#163;1m at Sotheby's in London.",http://pbs.twimg.com/profile_images/662708106/bbc_normal.png
Channel4News,Sat Oct 06 10:09:24 +0000 2018,"A Banksy painting has ''self-destructed'' on the auction podium at Sotheby's in London after being sold for over &#163;1m. Shortly after the hammer went down, ''Girl With Balloon'' was shredded by a mechanism apparently hidden within the base of the frame.",http://pbs.twimg.com/profile_images/875404558528393216/cTknVhwm_normal.jpg
DanFleyshman,Sat Oct 06 02:35:21 +0000 2018,"$1,300,000 BANKSY artwork piece just ''self-destructed'' right after it was sold at Sotheby's auction! (An alarm sound went off and the frame began to shred the art piece.)",http://pbs.twimg.com/profile_images/2734777303/8cde9f0515cb1256b768c2d632421d6e_normal.jpeg
FT,Fri Oct 05 22:26:50 +0000 2018,Banksy painting 'self-destructs' in auction prank,http://pbs.twimg.com/profile_images/931156393108885504/EqEMtLhM_normal.jpg
guardian,Sat Oct 06 08:43:35 +0000 2018,Banksy auction prank leaves art world in shreds,http://pbs.twimg.com/profile_images/952866338187423744/0hj7a-EH_normal.jpg
itvnews,Sat Oct 06 18:21:38 +0000 2018,Banksy releases video revealing how he 'secretly' rigged one of his most celebrated works to self-destruct at auction after being sold for &#163;1.04 million,http://pbs.twimg.com/profile_images/3105933720/17bab587f151975ca4ae9f6a1cab7c56_normal.png
nowthisnews,Sat Oct 06 18:33:00 +0000 2018,This Banksy piece shredded itself right after being sold for $1.4 million,http://pbs.twimg.com/profile_images/1013778236734504966/HWM6Dh-Q_normal.jpg
nytimes,Sat Oct 06 15:20:06 +0000 2018,"Moments after the gavel sounded on the $1.4 million sale of the Banksy artwork, an alarm sounded and it slipped through a shredder hidden in the frame, cutting it to pieces.",http://pbs.twimg.com/profile_images/942784892882112513/qV4xB0I3_normal.jpg
Reuters,Sat Oct 06 23:40:00 +0000 2018,Banksy's 'Girl with Balloon' painting self-destructs at Sotheby's auction in London,http://pbs.twimg.com/profile_images/877554927932891136/ZBEs235N_normal.jpg
TechCrunch,Sat Oct 06 17:48:44 +0000 2018,Banksy piece immediately shreds itself after being sold for $1.25M,http://pbs.twimg.com/profile_images/969240943671955456/mGuud28F_normal.jpg
TwitterMoments,Sat Oct 06 04:13:39 +0000 2018,A Banksy artwork self-shredded through its own frame seconds after being sold at auction for more than $1 million.,http://pbs.twimg.com/profile_images/651463624330907648/OzaAcuSR_normal.png
VICE,Sat Oct 06 00:47:04 +0000 2018,A shredded Banksy painting might be more valuable than an intact one,http://pbs.twimg.com/profile_images/672036189273120768/4_Esv2H4_normal.jpg
WSJ,Sat Oct 06 15:30:09 +0000 2018,"Banksy's 'Girl With Balloon' sells for $1.4 million in London, then self-destructs",http://pbs.twimg.com/profile_images/971415515754266624/zCX0q9d5_normal.jpg
